0,오랜만에 할머니를 만나서 기분이 어때?,진작에 할머니 안 만나고 뭐했어요!
1,오랜만에 할머니를 만나서 기분이 어때?,오랜만인지도 몰랐네요~.
2,오랜만에 할머니를 만나서 기분이 어때?,왜 할머니를 이제서야 만나는거에요!
3,오랜만에 할머니를 만나서 기분이 어때?,어~ 좋은 거 같아요 ㅎㅎ~
4,오랜만에 할머니를 만나서 기분이 어때?,너무 좋아요! 맛있는 거 해주시겠죠?
5,오랜만에 할머니를 만나서 기분이 어때?,할머니가 저를 혼내지 않으시겠죠
6,오랜만에 할머니를 만나서 기분이 어때?,할머니가 전보다 나이든 것 같아요.
7,오랜만에 할머니를 만나서 기분이 어때?,할머니께서 편찮아 보이시는데 괜찮을까요?
8,오랜만에 할머니를 만나서 기분이 어때?,할머니를 만나서 너무 좋아요!
9,오랜만에 할머니를 만나서 기분이 어때?,좋아요...
0,할머니를 만나서 좋아?,"아뇨, 저는 할머니 싫어요."
1,할머니를 만나서 좋아?,푸근하고 좋았어요.
2,할머니를 만나서 좋아?,좀 더 빨리 만나고 싶었어요
3,할머니를 만나서 좋아?,간만에 할머니 뵈니까 마음이 편해져요~
4,할머니를 만나서 좋아?,할머니 배고파요~~
5,할머니를 만나서 좋아?,맨날 할머니가 저를 혼내셔요
6,할머니를 만나서 좋아?,할머니 댁은 여전한 것 같아요.
7,할머니를 만나서 좋아?,언제까지 할머니를 뵐 수 있을까요?
8,할머니를 만나서 좋아?,친척들이 많이 와서 정말 좋아요!
9,할머니를 만나서 좋아?,집에 가고싶어요
0,오늘 오랜만에 할머니를 만났구나.,"네, 저는 엄빠보다 할머니가 좋아요."
1,오늘 오랜만에 할머니를 만났구나.,여유롭고 좋았어요.
2,오늘 오랜만에 할머니를 만났구나.,할머니가 우리 보고 싶었을텐데 왜 늦게 도착한거에요
3,오늘 오랜만에 할머니를 만났구나.,편안하네요~ 할머니랑 같이 있으니까~
4,오늘 오랜만에 할머니를 만났구나.,헤헤 오랜만이네요 할머니!
5,오늘 오랜만에 할머니를 만났구나.,빨리 집에 가고 싶어요
6,오늘 오랜만에 할머니를 만났구나.,할머니가 맛있는 요리를 해주셨어요.
7,오늘 오랜만에 할머니를 만났구나.,좋았어요 할머니 쭉 저희 곁에 계시겠죠?
8,오늘 오랜만에 할머니를 만났구나.,할머니랑 오늘 하루 같이 있어서 좋아요!
9,오늘 오랜만에 할머니를 만났구나.,어색해요.
0,달리기시합 1등 축하해!,1등을 목표로 매일 수련한 결과예요.
1,달리기시합 1등 축하해!,설렁설렁 뛰었는데 1등했네요.
2,달리기시합 1등 축하해!,왜 1등상을 빨리 안주는거에요
3,달리기시합 1등 축하해!,아유 뭘~ 별 거 아니에요~ㅎㅎ
4,달리기시합 1등 축하해!,별 거 아니었어요~!
5,달리기시합 1등 축하해!,갑자기 1등을 뺐기는거 아니겠죠?
6,달리기시합 1등 축하해!,제가 반에서 제일 빨랐거든요.
7,달리기시합 1등 축하해!,2등한 친구가 슬퍼하진 않겠죠?
8,달리기시합 1등 축하해!,시합 1등해서 너무 좋아요!
9,달리기시합 1등 축하해!,감사합니다...
0,달리기 시합 우승 축하한다!,1등은 당연한 결과죠.
1,달리기 시합 우승 축하한다!,그냥 재미로 뛰었는데 1등할 줄은 몰랐어요.
2,달리기 시합 우승 축하한다!,더 빠르게 달릴 수 있었어요
3,달리기 시합 우승 축하한다!,그냥 설렁설렁 달렸는데 1등이네요?
4,달리기 시합 우승 축하한다!,선물 주세요!
5,달리기 시합 우승 축하한다!,부정행위 했다고 1등 뺐기는거 아니죠?
6,달리기 시합 우승 축하한다!,다른 아이들이 넘어져서 이긴 거예요.
7,달리기 시합 우승 축하한다!,친구들이랑 이 기쁜 마음을 같이 나누고 싶어요
8,달리기 시합 우승 축하한다!,다른 친구들이랑 연습을 많이 해서 1등을 한거 같아요
9,달리기 시합 우승 축하한다!,아니에요...
0,달리기 시합에서 제일 먼저 도착선에 도착했구나.,1등을 하려고 엄청 노력했어요.
1,달리기 시합에서 제일 먼저 도착선에 도착했구나.,"오, 고마워요. 그런데, 다음에는 다른 누군가가 1등일 수도 있을 거예요."
2,달리기 시합에서 제일 먼저 도착선에 도착했구나.,왜 이렇게 발표를 늦게 해주는거에요
3,달리기 시합에서 제일 먼저 도착선에 도착했구나.,저는 제가 1등 할 줄 이미 알고 있었어요~
4,달리기 시합에서 제일 먼저 도착선에 도착했구나.,감사해요~ 이기니까 너무 좋아요~!!
5,달리기 시합에서 제일 먼저 도착선에 도착했구나.,다음시합에 제가 1등을 못하면 어떻하죠?
6,달리기 시합에서 제일 먼저 도착선에 도착했구나.,빨리 달려서 이길 수 있었어요.
7,달리기 시합에서 제일 먼저 도착선에 도착했구나.,1등 하니까 감동해서 눈물이 날 거 같았어요
8,달리기 시합에서 제일 먼저 도착선에 도착했구나.,친구들이랑 같이 시합을 하니까 정말 즐거워요!
9,달리기 시합에서 제일 먼저 도착선에 도착했구나.,네...
0,오늘 저녁은 네가 좋아하는 카레를 준비했단다.,오늘뿐만 아니라 매일 카레 해주세요.
1,오늘 저녁은 네가 좋아하는 카레를 준비했단다.,"오, 잘됐네요."
2,오늘 저녁은 네가 좋아하는 카레를 준비했단다.,저녁을 빨리 준비해주세요
3,오늘 저녁은 네가 좋아하는 카레를 준비했단다.,와 맛있겠다~
4,오늘 저녁은 네가 좋아하는 카레를 준비했단다.,오늘 밥 두 그릇 먹어야 겠네요!
5,오늘 저녁은 네가 좋아하는 카레를 준비했단다.,카레에 제가 못먹는 음식 없겠죠...?
